"RecordIDS","AverageConsistency","Title-Consistency","Title-Values"
"MB_78756+MB_78757+spy_6480","1.0","1.0","{Stacko|Stacko|Stacko}"
"MB_15976+spy_441","1.0","1.0","{Doo-Wops & Hooligans|Doo-Wops & Hooligans}"
"MB_28014+WDC_27490","1.0","1.0","{Ellipse|Ellipse}"
"MB_38099+WDC_11418","1.0","1.0","{Evolution|Evolution}"
"MB_26934+WDC_648+WDC_7873","1.0","1.0","{Slow Motion|Slow Motion|Slow Motion}"
"MB_10404+WDC_18270","1.0","1.0","{Cotton Eyed Joe|Cotton Eyed Joe}"
"MB_18648+WDC_29230","1.0","1.0","{Facing Left|Facing Left}"
"MB_45529+WDC_25518","1.0","1.0","{Exit|Exit}"
"MB_12771+WDC_6386","1.0","1.0","{I'm Not the Same Girl|I'm Not The Same Girl}"
"MB_57268+WDC_40082","1.0","1.0","{Sunny Lax Presents: 20 Years of Anjunabeats|Sunny Lax Presents: 20 Years Of Anjunabeats}"
"MB_18229+WDC_11668+WDC_20300","1.0","1.0","{The Expanding Universe|The Expanding Universe|The Expanding Universe}"
"MB_53284+WDC_21182+WDC_982","0.6666666666666666","0.6666666666666666","{Eliza and the Bear|Eliza And The Bear (Deluxe)|Eliza And The Bear}"
"MB_49473+spy_17166","1.0","1.0","{Jarmark|Jarmark}"
"MB_74195+WDC_5773","1.0","1.0","{Church Music|Church Music}"
"MB_80399+spy_1485","1.0","1.0","{6 Little Eggs|6 Little Eggs}"
"MB_9439+spy_9558","1.0","1.0","{Just for You|Just For You}"
"MB_10007+spy_8170","1.0","1.0","{Inolvidable|Inolvidable}"
"MB_26676+spy_9379","1.0","1.0","{Wait|Wait}"
"MB_30386+MB_30395+spy_60","1.0","1.0","{Lovestrong.|Lovestrong.|lovestrong.}"
"MB_46924+WDC_19048+WDC_22532","1.0","1.0","{Greatest Hits|Greatest Hits|Greatest Hits}"
"MB_75216+WDC_15088","1.0","1.0","{The Stone Poneys|The Stone Poneys}"
"MB_47154+WDC_17551+WDC_31463","1.0","1.0","{The Key|The Key|The Key}"
"MB_11599+spy_8978","1.0","1.0","{War|War}"
"MB_16937+spy_1298","1.0","1.0","{Find the Beat|Find The Beat}"
"WDC_28762+WDC_3825+spy_8339","1.0","1.0","{Wild Ones|Wild Ones|Wild Ones}"
"MB_8422+WDC_16879","1.0","1.0","{Encore|Encore}"
"MB_63119+spy_11759","0.0","0.0","{Waking Up Slow (piano)|Waking up Slow (Piano Version)}"
"MB_4372+WDC_28030","1.0","1.0","{Modern Times|Modern Times}"
"MB_56591+spy_16654","1.0","1.0","{MAWZ|MAWZ}"
"MB_79544+WDC_18892","1.0","1.0","{Glanzlichter|Glanzlichter}"
"MB_1975+WDC_6241","1.0","1.0","{The Best of Tommy Dorsey|The Best of Tommy Dorsey}"
"MB_28530+WDC_23384+WDC_27654","1.0","1.0","{Acoustic|Acoustic|Acoustic}"
"MB_53507+spy_10697","1.0","1.0","{Songs About Death and Dying Vol. 3|Songs About Death and Dying Vol. 3}"
"MB_78859+spy_8931","1.0","1.0","{tobi lou and the Juice|tobi lou and the Juice}"
"MB_37256+WDC_35651","1.0","1.0","{Dangerous Night (Cheat Codes remix)|Dangerous Night (Cheat Codes Remix)}"
"MB_79398+spy_2447","1.0","1.0","{Anemos Agapis|Anemos Agapis}"
"MB_23829+WDC_9055","1.0","1.0","{Street Corner Symphony|Street Corner Symphony}"
"MB_74117+WDC_14535+WDC_17457+WDC_32785+WDC_7124+WDC_779","0.8333333333333334","0.8333333333333334","{Lyte as a Rock|Lyte As A Rock (Explicit)|Lyte As A Rock (Explicit)|Lyte As A Rock (Explicit)|Lyte As A Rock (Explicit)|Lyte As A Rock (Explicit)}"
"MB_37530+WDC_3203","0.0","0.0","{The Mouse & the Mask|The Mouse & The Mask (Metalface Edition) (Explicit)}"
"MB_13113+spy_16675","1.0","1.0","{Não Me Importo|Não Me Importo}"
"MB_9769+WDC_13393+WDC_31953+WDC_4298","1.0","1.0","{Mixed Up|Mixed Up|Mixed Up|Mixed Up}"
"MB_27951+spy_19776","1.0","1.0","{Worms|Worms}"
"MB_4127+spy_12949","1.0","1.0","{Overwhelming|Overwhelming}"
"MB_17817+WDC_19329","1.0","1.0","{Hitchin' a Ride|Hitchin' a Ride}"
"MB_57006+WDC_29034","1.0","1.0","{Black Noise|Black Noise}"
"MB_77760+WDC_17277+WDC_2334+WDC_25037+WDC_43480","1.0","1.0","{Pick Me Up Off the Floor|Pick Me Up Off The Floor|Pick Me Up Off The Floor|Pick Me Up Off The Floor|Pick Me Up Off The Floor}"
"MB_79663+WDC_35304+WDC_6108","1.0","1.0","{I Am Easy to Find|I Am Easy to Find|I Am Easy to Find}"
"MB_71301+WDC_16345+WDC_17565+WDC_30996+WDC_5088+WDC_5409","1.0","1.0","{Social Living|Social Living|Social Living|Social Living|Social Living|Social Living}"
"MB_27600+WDC_9104","1.0","1.0","{Silver Apples|Silver Apples}"
"MB_28171+spy_12308","1.0","1.0","{จังหวะจะรัก|จังหวะจะรัก}"
"MB_35584+WDC_15733+WDC_28958+WDC_30814+WDC_34958+WDC_39088","0.8333333333333334","0.8333333333333334","{Tears Dry on Their Own|Tears Dry On Their Own (Remixes & B Sides [Explicit])|Tears Dry On Their Own (Remixes & B Sides [Explicit])|Tears Dry On Their Own (Remixes & B Sides [Explicit])|Tears Dry On Their Own (Remixes & B Sides [Explicit])|Tears Dry On Their Own (Remixes & B Sides [Explicit])}"
"MB_74450+spy_7409","1.0","1.0","{Newman|Newman}"
"MB_24292+WDC_15679","1.0","1.0","{Bobby Vee Sings Your Favorites|Bobby Vee Sings Your Favorites}"
"MB_30978+spy_7548","1.0","1.0","{The Love Club EP|The Love Club EP}"
"MB_18256+WDC_427","1.0","1.0","{The Original Hits|The Original Hits}"
"MB_35021+spy_6916","1.0","1.0","{18 Plus|18 Plus}"
"MB_17048+WDC_1602","1.0","1.0","{Embrace the Gutter|Embrace The Gutter}"
"MB_33111+WDC_14555+WDC_32444+WDC_35724+WDC_42943+WDC_8820","1.0","1.0","{Public Warning|Public Warning|Public Warning|Public Warning|Public Warning|Public Warning}"
"MB_613+spy_1123","0.0","0.0","{Come far nascere un fiore|Come Far Nascere Un Fiore - The Best Of}"
"MB_53716+WDC_2197+WDC_23866+WDC_7739+spy_5246","1.0","1.0","{Rockferry|Rockferry|Rockferry|Rockferry|Rockferry}"
"MB_68952+WDC_2048+WDC_2335","1.0","1.0","{Nuyorican Soul|Nuyorican Soul|Nuyorican Soul}"
"MB_43577+spy_19334","0.0","0.0","{O Som das Multidões|O Som das Multidões (Ao Vivo) [Deluxe]}"
"MB_34837+WDC_2929+WDC_37068","1.0","1.0","{Gradients|Gradients|Gradients}"
"MB_66901+WDC_37540+WDC_40572","1.0","1.0","{All The Greatest Hits|All The Greatest Hits|All The Greatest Hits}"
"MB_36712+MB_36717+spy_19991","1.0","1.0","{Longterm Mentality|Longterm Mentality|Longterm Mentality}"
"MB_63398+WDC_12454","0.0","0.0","{Can't Get Enough|Can't Get Enough (2016 Deluxe Version)}"
"MB_36978+WDC_26269+WDC_6689","0.6666666666666666","0.6666666666666666","{Get Down or Lay Down|Get Down Or Lay Down|Get Down Or Lay Down (U.S. Explicit)}"
"MB_76841+spy_3976","1.0","1.0","{Sucrilhos|Sucrilhos}"
"MB_78476+spy_1174","0.0","0.0","{De qué manera te olvido|De Que Manera Te Olvido}"
"MB_75402+spy_19008","1.0","1.0","{The Return of Headhunterz|The Return Of Headhunterz}"
"MB_65090+WDC_33440","0.0","0.0","{The Divinity of Purpose|The Divinity of Purpose (Explicit)}"
"MB_34263+WDC_37846","1.0","1.0","{Sings a Song with Mulligan|Sings a Song With Mulligan}"
"MB_64058+WDC_2147+WDC_27402+WDC_7573","1.0","1.0","{Danke Schoen|Danke Schoen|Danke Schoen|Danke Schoen}"
"MB_3312+spy_10968","1.0","1.0","{P.M.|P.M.}"
"MB_25404+WDC_29932","1.0","1.0","{Seeing Aliens|Seeing Aliens}"
"MB_15840+WDC_16535+WDC_23774+WDC_27378+WDC_3135","1.0","1.0","{Stevie Wonder Presents Syreeta|Stevie Wonder Presents Syreeta|Stevie Wonder Presents Syreeta|Stevie Wonder Presents Syreeta|Stevie Wonder Presents Syreeta}"
"MB_8443+spy_15876","1.0","1.0","{Gözyaşı|Gözyaşı}"
"MB_7279+WDC_18150+WDC_28471","1.0","1.0","{I Get Wet|I Get Wet|I Get Wet}"
"MB_47152+WDC_10051+WDC_23857","1.0","1.0","{The Journey North|The Journey North|The Journey North}"
"MB_8058+WDC_14832+WDC_24119+WDC_2704+WDC_29364+WDC_37176","1.0","1.0","{Paper Airplane|Paper Airplane|Paper Airplane|Paper Airplane|Paper Airplane|Paper Airplane}"
"MB_52281+WDC_21522","1.0","1.0","{Yuri|Yuri}"
"MB_8641+WDC_1825+WDC_5473","1.0","1.0","{This Is My Blood|This Is My Blood|This Is My Blood}"
"MB_61868+WDC_33049","1.0","1.0","{Evyltyde|Evyltyde}"
"MB_54834+spy_1972","1.0","1.0","{11 Short Stories of Pain & Glory|11 Short Stories of Pain & Glory}"
"MB_55862+WDC_19705","1.0","1.0","{In Name and Blood|In Name And Blood}"
"MB_50423+WDC_34263","1.0","1.0","{Aftermath of the Lowdown|Aftermath of the Lowdown}"
"MB_79974+WDC_22258","1.0","1.0","{Greatest Hits|Greatest Hits}"
"MB_29368+WDC_28513+WDC_36730+WDC_40583","1.0","1.0","{Feel The Fire - The 20th Century Collection|Feel The Fire: The 20th Century Collection|Feel The Fire: The 20th Century Collection|Feel The Fire: The 20th Century Collection}"
"MB_4123+spy_12940","1.0","1.0","{OX|OX}"
"MB_79982+MB_79985+spy_5309","1.0","1.0","{Brandon Banks|Brandon Banks|Brandon Banks}"
"MB_77172+spy_11427","1.0","1.0","{Counterfeit|Counterfeit}"
"MB_1797+WDC_684","1.0","1.0","{On Vacation|On Vacation}"
"MB_48794+WDC_7791","0.0","0.0","{Demos (1973–75) Volumes 1 & 2|Demos (1973-1975), Vol. 1 & 2}"
"MB_73345+spy_2054","0.0","0.0","{I Got You Babe / It’s Gonna Rain|I Got You Babe / It's Gonna Rain [Digital 45]}"
"MB_59262+WDC_25170","1.0","1.0","{Beautiful Little Fools|Beautiful Little Fools}"
"MB_29758+WDC_19154+WDC_22378","1.0","1.0","{More Than You Know|More Than You Know|More Than You Know}"
"MB_77683+MB_77688+spy_1627","1.0","1.0","{1220|1220|1220}"
"MB_50237+spy_11013","1.0","1.0","{Schritte Extended & Live in Berlin|Schritte Extended & Live in Berlin}"
"MB_71273+WDC_33575","1.0","1.0","{You Are Not Who I Thought I Was|You Are Not Who I Thought I Was}"
"MB_30817+spy_12485","1.0","1.0","{Sus huellas|Sus Huellas}"
"MB_64546+WDC_12242","1.0","1.0","{Cobras and Fire: The Mastermind Redux|Cobras and Fire (The Mastermind Redux)}"
"MB_9559+spy_4054","1.0","1.0","{Who Are You|Who Are You}"
"MB_37457+spy_14604","1.0","1.0","{Suprior|Suprior}"
"MB_61937+spy_16600","1.0","1.0","{Vou dar rolê|Vou Dar Rolê}"
"MB_78169+MB_78171+spy_13365","1.0","1.0","{MAMI|Mami|MAMI}"
"MB_41210+spy_18741","1.0","1.0","{Dosis de amor|Dosis De Amor}"
"WDC_23453+spy_15916","1.0","1.0","{Same Trailer Different Park|Same Trailer Different Park}"
"MB_48151+WDC_13315+WDC_23967+WDC_37501+WDC_37718+WDC_39052+WDC_437","1.0","1.0","{The Show, The After Party, The Hotel|The Show, The After Party, The Hotel|The Show, The After Party, The Hotel|The Show, The After Party, The Hotel|The Show, The After Party, The Hotel|The Show, The After Party, The Hotel|The Show, The After Party, The Hotel}"
"MB_76569+WDC_33797","1.0","1.0","{Road to Last Night|Road To Last Night}"
"MB_22907+WDC_31423","1.0","1.0","{What If Leaving Is a Loving Thing|What If Leaving Is a Loving Thing}"
"MB_54256+WDC_20304+WDC_43791","0.6666666666666666","0.6666666666666666","{Wir sind am Leben|Wir sind am Leben (Standard Edition)|Wir sind am Leben (Standard Edition)}"
"MB_17278+spy_11941","1.0","1.0","{A New World Record|A New World Record}"
"MB_30210+WDC_21986+WDC_27057+WDC_33324+WDC_7797","0.8","0.8","{The Equalizer 2|The Equalizer 2 (Original Motion Picture Soundtrack)|The Equalizer 2 (Original Motion Picture Soundtrack)|The Equalizer 2 (Original Motion Picture Soundtrack)|The Equalizer 2 (Original Motion Picture Soundtrack)}"
"MB_69714+WDC_5511","1.0","1.0","{Blue Virgin Isles|Blue Virgin Isles}"
"MB_39048+WDC_12646","1.0","1.0","{Star of the Grand Ole Opry|Star Of The Grand Ole Opry}"
"MB_77845+WDC_28140+WDC_33763+WDC_37691","1.0","1.0","{Mr. Impossible|Mr. Impossible|Mr. Impossible|Mr. Impossible}"
"MB_15095+WDC_35641","1.0","1.0","{Blood & Vomit|Blood & Vomit}"
"MB_32605+WDC_27671","1.0","1.0","{Under / Raw Bass Material|Under / Raw Bass Material}"
"MB_42486+WDC_850","1.0","1.0","{Better Be Home Soon|Better Be Home Soon}"
"MB_30622+spy_7930","1.0","1.0","{Wasted Love|Wasted Love}"
"MB_73657+WDC_38882","1.0","1.0","{Leontyne Price Sings Spirituals|Leontyne Price sings Spirituals}"
"MB_20506+MB_20507+MB_20508+MB_20510+spy_2280","1.0","1.0","{Sunburn|Sunburn|Sunburn|Sunburn|Sunburn}"
"MB_64988+WDC_7440","1.0","1.0","{Hours|Hours}"
"MB_23059+WDC_26039","1.0","1.0","{Gentlemen’s Brawl|Gentlemen's Brawl}"
"MB_60275+WDC_17557+WDC_9512","1.0","1.0","{Intensity|Intensity|Intensity}"
"MB_7615+MB_7617+spy_17052","1.0","1.0","{Stereo Typical|Stereo Typical|Stereo Typical}"
"MB_44000+spy_1114","1.0","1.0","{Mimoza|Mimoza}"
"MB_6833+WDC_9797","0.0","0.0","{Wait For Now|Wait For Now (Pépé Bradock Remixes)}"
"MB_26897+WDC_44384","1.0","1.0","{The Way|The Way}"
"MB_72614+WDC_38543","1.0","1.0","{Abridged|Abridged}"
"MB_39537+WDC_23613","1.0","1.0","{Goasana|Goasana}"
"MB_76467+spy_431","1.0","1.0","{Sun sinking at dusk|Sun sinking at dusk}"
"MB_75336+WDC_25451+WDC_28764","1.0","1.0","{Foolin' Around / Tailor Made|Foolin' Around / Tailor Made|Foolin' Around / Tailor Made}"
"MB_71386+WDC_43918","0.0","0.0","{Mecca and the Soul Brother|Mecca And The Soul Brother (Explicit)}"
"MB_62112+WDC_43046","0.0","0.0","{This Too Shall Pass|This Too Shall Pass (Deluxe)}"
"MB_13217+MB_13219+spy_12119","1.0","1.0","{Jordan Davis|Jordan Davis|Jordan Davis}"
"MB_71825+WDC_45259","1.0","1.0","{Motifs|Motifs}"
"MB_66643+WDC_10672+WDC_10949+WDC_27046","1.0","1.0","{...His Last Songs|...His Last Songs|...His Last Songs|...His Last Songs}"
"MB_60147+WDC_33098","1.0","1.0","{Changing Lanes|Changing Lanes}"
"MB_73373+WDC_14976","1.0","1.0","{Ghost Thief|Ghost Thief}"
"MB_24582+WDC_43248","1.0","1.0","{Armed Forces|Armed Forces}"
"MB_14536+WDC_3035","1.0","1.0","{Hell or High Water|Hell Or High Water}"
"MB_41094+WDC_18236+WDC_28611+WDC_43989","1.0","1.0","{Latin Fever|Latin Fever|Latin Fever|Latin Fever}"
"MB_10842+MB_10847+spy_2928","1.0","1.0","{Abandoned Luncheonette|Abandoned Luncheonette|Abandoned Luncheonette}"
"MB_26846+WDC_13461+WDC_19489+WDC_23150+WDC_28601+WDC_39048","1.0","1.0","{Let’s Face It|Let's Face It|Let's Face It|Let's Face It|Let's Face It|Let's Face It}"
"MB_61929+WDC_12418+WDC_17955+WDC_3595","1.0","1.0","{20th Century Masters: The Millennium Collection: The Best of Donna Fargo|20th Century Masters: The Millennium Collection: Best of Donna Fargo|20th Century Masters: The Millennium Collection: Best of Donna Fargo|20th Century Masters: The Millennium Collection: Best of Donna Fargo}"
"MB_69426+WDC_8344+WDC_9770+spy_5927","1.0","1.0","{The Pursuit|The Pursuit|The Pursuit|The Pursuit}"
"MB_18123+spy_13306","1.0","1.0","{Tare|Tare}"
"MB_61880+WDC_27846+WDC_5263","1.0","1.0","{Cambiar el alma|Cambiar El Alma|Cambiar El Alma}"
"MB_10858+WDC_23059+WDC_25321","0.6666666666666666","0.6666666666666666","{Poke (from Tiny Changes: A Celebration of Frightened Rabbit’s “The Midnight Organ Fight”)|Poke (from Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight' [Explicit])|Poke (from Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight' [Explicit])}"
"MB_41481+WDC_21659","1.0","1.0","{Within and Without|Within and Without}"
"MB_76940+WDC_35751","0.0","0.0","{Io che amo solo te / Vecchia balera|Io che amo solo te}"
"MB_25789+WDC_28287","1.0","1.0","{Shake and Fingerpop|Shake And Fingerpop}"
"MB_61092+WDC_18657","0.0","0.0","{In the Beginning: A Live Anthology 77–81|In The Beginning}"
"MB_71607+spy_7594","1.0","1.0","{More Than That|More Than That}"
"MB_3458+WDC_37997","1.0","1.0","{Home Sweet Home|Home Sweet Home}"
"MB_73143+MB_73145+MB_73147+WDC_30374+WDC_37472+spy_914","1.0","1.0","{1st Born Second|1st Born Second|1st Born Second|1st Born Second|1st Born Second|1st Born Second}"
"MB_20509+spy_2288","1.0","1.0","{Açaí Bowl|Açaí Bowl}"
"MB_61807+MB_61808+spy_5231","1.0","1.0","{Kun valaistun 2.0|Kun valaistun 2.0|Kun valaistun 2.0}"
"MB_14231+WDC_15108+WDC_20020+WDC_31659+WDC_35885","1.0","1.0","{In Currents|In Currents|In Currents|In Currents|In Currents}"
"MB_44423+WDC_42485","1.0","1.0","{Triumph and Loss|Triumph And Loss}"
"MB_32274+spy_15998","1.0","1.0","{ZayZay|ZayZay}"
"MB_60168+WDC_43263","1.0","1.0","{Nobody Told Me|Nobody Told Me}"
"MB_15062+MB_15063+spy_3158","1.0","1.0","{Turbo Love Remixes|Turbo Love Remixes|Turbo Love Remixes}"
"MB_22285+spy_18530","1.0","1.0","{Let You Go|Let You Go}"
"MB_12100+WDC_10536","1.0","1.0","{New Beginnings|New Beginnings}"
"MB_54754+spy_2393","1.0","1.0","{Heart of Brass|Heart of Brass}"
"MB_8899+spy_17561","1.0","1.0","{Original Boy|Original Boy}"
"MB_78209+WDC_39663","0.0","0.0","{Once Upon a Night, Volume 3|Once Upon A Night, Vol. 2}"
"MB_32052+WDC_17480+WDC_32084","1.0","1.0","{This Magic Moment|This Magic Moment|This Magic Moment}"
"MB_29005+spy_3467","1.0","1.0","{Supergavetijd|Supergavetijd}"
"MB_9185+WDC_28405+WDC_39415","1.0","1.0","{You Belong to the City|You Belong To The City|You Belong To The City}"
"MB_73456+WDC_29575","1.0","1.0","{Clarity|Clarity}"
"MB_8909+spy_5500","1.0","1.0","{Woodkid for Nicolas Ghesquière - Louis Vuitton Works One|Woodkid For Nicolas Ghesquière - Louis Vuitton Works One}"
"MB_43725+WDC_9303","0.0","0.0","{Stand Still, Look Pretty|Stand Still, Look Pretty (Walmart.com Digital Bundle Pre-Order)}"
"MB_77391+WDC_38213","1.0","1.0","{Drink It Gone|Drink It Gone}"
"MB_16303+WDC_20395+WDC_2796+WDC_4845","1.0","1.0","{My Christmas Dream|My Christmas Dream|My Christmas Dream|My Christmas Dream}"
"MB_8864+WDC_4022+WDC_6129","1.0","1.0","{Louie Louie Louie|Louie Louie Louie|Louie Louie Louie}"
"MB_3817+spy_9724","1.0","1.0","{JM De Guzman|JM De Guzman}"
"MB_1881+WDC_14245+WDC_18983+WDC_24729+WDC_27881","1.0","1.0","{SongVersation: Medicine|SongVersation: Medicine|SongVersation: Medicine|SongVersation: Medicine|SongVersation: Medicine}"
"MB_15654+WDC_17756","1.0","1.0","{CSN|CSN}"
"MB_52287+WDC_43346","1.0","1.0","{Worshipper|Worshipper}"
"MB_76423+spy_3733","1.0","1.0","{Kasaba|Kasaba}"
"MB_9362+WDC_7612+WDC_9310","1.0","1.0","{Pray for Rain|Pray For Rain|Pray For Rain}"
"MB_711+spy_13176","1.0","1.0","{Seve|Seve}"
"MB_11891+WDC_36192","1.0","1.0","{Unholy Five|Unholy Five}"
"MB_64798+WDC_31224+WDC_9629","1.0","1.0","{1 of 4|1 of 4|1 of 4}"
"MB_32527+WDC_41363","1.0","1.0","{Drama Queen|Drama Queen}"
"MB_39278+WDC_16183+WDC_2537","1.0","1.0","{Tragic Kingdom|Tragic Kingdom|Tragic Kingdom}"
"MB_32508+spy_4445","1.0","1.0","{WOLV|WOLV}"
"MB_42046+spy_14537","1.0","1.0","{Tumbala|Tumbala}"
"WDC_40399+spy_12331","1.0","1.0","{Live In Paris|Live In Paris}"
"MB_27182+WDC_12637","1.0","1.0","{Luciferian Towers|Luciferian Towers}"
"MB_32098+spy_5696","1.0","1.0","{Infinity on High|Infinity On High}"
"MB_9514+MB_9515+MB_9517+MB_9518+spy_14471","1.0","1.0","{Jonas Brothers|Jonas Brothers|Jonas Brothers|Jonas Brothers|Jonas Brothers}"
"MB_49588+WDC_35209","1.0","1.0","{Glitterbug|Glitterbug}"
"MB_40052+WDC_28204","0.0","0.0","{Stumble / So Clear|Stumble / So Clear - EP}"
"MB_37575+spy_4093","1.0","1.0","{The Book Of Nabeel|The Book Of Nabeel}"
"MB_23519+spy_2995","1.0","1.0","{Idiot|IDIOT}"
"MB_56264+spy_12617","1.0","1.0","{Battered, Bruised & Bloody|Battered Bruised & Bloody}"
"MB_25213+WDC_20560+WDC_33372","1.0","1.0","{Gene Simmons|Gene Simmons|Gene Simmons}"
"MB_5705+WDC_39795","1.0","1.0","{Throne of the Goat|Throne of the Goat}"
"MB_15437+WDC_14134","1.0","1.0","{Live at Bungbuay|Live at Bungbuay}"
"MB_1992+WDC_3045+WDC_37060+WDC_43526","1.0","1.0","{Listening Man|Listening Man|Listening Man|Listening Man}"
"MB_49692+WDC_14453+WDC_31689+WDC_44063","1.0","1.0","{La Femme chocolat|La femme chocolat|La femme chocolat|La femme chocolat}"
"MB_64381+WDC_19626","0.0","0.0","{The Orb Chronicles: 20 Years of Shitkatapult|The Orb Chronicles - 20 Years of Shitkatapult (Including Continuous Mix)}"
"MB_36709+WDC_18674","0.0","0.0","{No Really, I'm Fine|No Really, I'm Fine (Standard Version)}"
"MB_58291+WDC_13197+WDC_5457+WDC_8224","1.0","1.0","{Blood Of Man|Blood Of Man|Blood Of Man|Blood Of Man}"
"MB_30787+WDC_21794","1.0","1.0","{Chico Buarque de Hollanda E Noel Rosa Na Voz de Isaura Garcia|Chico Buarque de Hollanda e Noel Rosa \'Na Voz de Isaura Garcia\}"
"MB_12671+spy_15381","1.0","1.0","{Lebih Indah|Lebih Indah}"
"MB_48118+spy_6317","1.0","1.0","{Marsipan Wave|Marsipan Wave}"
"MB_35684+WDC_4614","1.0","1.0","{Delusions of Grand Fur|Delusions of Grand Fur}"
"MB_31818+WDC_27558","1.0","1.0","{Strictly 4 the Underground|Strictly 4 The Underground}"
"MB_27559+spy_2430","1.0","1.0","{Me gusta el vino|Me Gusta el Vino}"
"MB_64796+WDC_20458","1.0","1.0","{The Rise of the Phoenix|The Rise of the Phoenix}"
"MB_37460+MB_37461+spy_15168","0.6666666666666666","0.6666666666666666","{Word of Mouth|Word of Mouth|Word Of Mouth (Deluxe)}"
"MB_30253+WDC_20810","1.0","1.0","{Weiter|Weiter}"
"MB_25234+spy_1050","1.0","1.0","{idina.|idina.}"
"MB_52945+spy_14714","1.0","1.0","{Dirty Bailarina|Dirty Bailarina}"
"MB_9793+WDC_37456","0.0","0.0","{S.P. The GOAT: Ghost of All Time|S.P. The GOAT: Ghost of All Time (Explicit)}"
"MB_33693+WDC_24084","0.0","0.0","{A Season in Hell|A Season In Hell (Explicit)}"
"MB_13935+WDC_44765","1.0","1.0","{Deep Song|Deep Song}"
"MB_74077+spy_9179","1.0","1.0","{New|New}"
"MB_20126+WDC_19264","1.0","1.0","{Anxiety|Anxiety}"
"MB_33273+spy_19399","1.0","1.0","{Kiezromantik|Kiezromantik}"
"MB_69211+WDC_1613","1.0","1.0","{Mulder and Scully|Mulder And Scully}"
"MB_22281+spy_18531","1.0","1.0","{V|V}"
"MB_32215+WDC_34975","1.0","1.0","{Doubt|Doubt}"
"MB_8969+spy_13607","1.0","1.0","{La luna|La Luna}"
"MB_16736+MB_16741+MB_16742+spy_19302","0.75","0.75","{Das neue Album|Das neue Album|Das neue Album (Instrumentals)|Das neue Album}"
"MB_3289+WDC_16020","1.0","1.0","{Activation Portal|Activation Portal}"
"MB_68881+spy_1411","0.0","0.0","{Give It Up|Give It Up (Remixes)}"
"MB_24989+WDC_28269","1.0","1.0","{Breath From Another|Breath From Another}"
"MB_24471+WDC_8632","1.0","1.0","{Blood and Gold|Blood and Gold}"
"MB_78961+WDC_37756","1.0","1.0","{Nick Kamen|Nick Kamen}"
"MB_67896+WDC_9638","1.0","1.0","{The Lay of Thrym|The Lay Of Thrym}"
"MB_55891+WDC_2634","1.0","1.0","{Every Sound Below|Every Sound Below}"
"MB_15854+WDC_38344","1.0","1.0","{Love|Love}"
"MB_21587+WDC_4541","1.0","1.0","{A Tribute to Faustina Bordoni|A Tribute to Faustina Bordoni}"
"MB_73581+WDC_21003","1.0","1.0","{phAses|phAses}"
"MB_48683+WDC_28010","1.0","1.0","{Freetown Sound|Freetown Sound}"
"MB_50996+WDC_40292","0.0","0.0","{Myths of the Near Future|Myths Of The Near Future (Exclusive to specific BPs)}"
"MB_60338+WDC_31315+WDC_41591","0.6666666666666666","0.6666666666666666","{The Best of Miquel Brown “So Many Men, So Little Time”|The Best of Miquel Brown|The Best of Miquel Brown \'So Many Men, So Little Time\}"
"MB_54705+MB_54708+spy_16373","1.0","1.0","{Aşk İle|Aşk İle|Aşk İle}"
"MB_31204+WDC_10149","0.0","0.0","{Clifford Brown With Strings|Clifford Brown With Strings (EP) (All Tracks Remastered)}"
"MB_57428+WDC_8606","1.0","1.0","{Dress for Excess|Dress For Excess}"
"MB_55430+WDC_30390","1.0","1.0","{My Maudlin Career|My Maudlin Career}"
"MB_375+WDC_25917","1.0","1.0","{The Book of Nature|The Book Of Nature}"
"MB_12723+WDC_27829","1.0","1.0","{Pure Thang|Pure Thang}"
"MB_75752+WDC_10379+WDC_11031+WDC_33208+WDC_3799","0.8","0.8","{The City Is At War|The City Is At War (International)|The City Is At War (International)|The City Is At War (International)|The City Is At War (International)}"
"MB_26719+WDC_2960","1.0","1.0","{Coded Language|Coded Language}"
"MB_15296+spy_18072","1.0","1.0","{Miks|Miks}"
"MB_24585+WDC_35903","1.0","1.0","{Imperial Bedroom|Imperial Bedroom}"
"MB_30005+WDC_19120+WDC_35667+WDC_4568","0.75","0.75","{Can't Get Away From You / Be Right!|Can't Get Away From You|Can't Get Away From You|Can't Get Away From You}"
"MB_66361+WDC_8555","1.0","1.0","{Who’s Loving You (live on the Ed Sullivan Show, December 14, 1969)|Who's Loving You (Live On The Ed Sullivan Show, December 14, 1969)}"
"MB_12909+WDC_15051","1.0","1.0","{Illicit|Illicit}"
"MB_10241+WDC_44947","1.0","1.0","{Class War|Class War}"
"MB_16235+WDC_12791+WDC_21353+WDC_40650+WDC_44867","1.0","1.0","{Louise attaque|Louise Attaque|Louise Attaque|Louise Attaque|Louise Attaque}"
"MB_53781+WDC_29772+WDC_518+WDC_8137","1.0","1.0","{Collected: 1996–2005|Collected: 1996-2005|Collected: 1996-2005|Collected: 1996-2005}"
"MB_63690+WDC_28794","1.0","1.0","{Persona|Persona}"
"MB_15949+WDC_21190","1.0","1.0","{Nockis Schlagerparty|Nockis Schlagerparty}"
